"id","title","composer","arranger","specific_voicing","key","time","notes"
"897","Don't Let the Music Stop","Butler",,"2-Part",,,
"866","3 Song Melody","Williams",,"2-Part",,,"Somewhere in my Memory; Star of Bethlehem; Merry Christmas, Merry Christmas"
"466","Who Can Sail?",,"Julseth-Heinrich","2-Part",,,
"566","You Can't Stop the Beat","Shaiman","Emerson","2-Part",,,
"680","O Mighty God, Our Lord","Schutz","Boepple","SA or TB",,,
"323","With the Earth, I Am One","Herrington",,"SA/TB",,,
"318","Up on the Housetop","Hanby","Pote","SA/TB",,,
"884","Walking on Sunshine","Rew","Huff","2-Part",,,
"893","Africa","Paich, Porcaro","Emerson","2-Part",,,
"593","Speechless","Menken","Snyder","2-Part",,,"4 copies"
"536","Elijah Rock!","Traditional Spiritual","Emerson","2-Part",,,
"301","The Never Ending Story","Moroder, Forsey","Billingsley","SA/TB",,,
"561","There's a Place for Us","Lindsey, Hodges, Underwood","Huff","2-Part",,,
"759","Doraji","Traditional Folk","Snyder","3-Part",,,
"678","Praise Ye The Lord","Telemann","Depue","3-Part",,,
"514","The Turtle Dove","Folk Song","Spevacek","SAB",,,
"813","Music of Life","Boykin",,"3-Part",,,
"231","Illumina oculos meos","Palestrina",,"SSA/TTB",,,
"210","Go Where I Send Thee","Caldwell, Ivory",,"SSA/SAT",,,
"285","Here's a Pretty Little Baby",,"Thomas","SATB",,,
"282","Hakuna Matata","John","Emerson","SATB",,,
"744","Lux Beata Trinitas","Gjeilo",,"SATB",,,"instrumental scores @ back, winter concert 2025 :)"
"304","John Henry","American Folk Song","Thomas","SATB",,,
"305","It Is Well with My Soul","Bliss, Berry",,"SATB",,,
"303","Kyrie Eleison","Mozart","Leininger","SATB",,,
"283","Svete tihiy","Gretchaninoff",,"SATB",,,
"291","Song of the Lonely Mountain","Finn et al.","Althouse","SAB",,,
"294","You Do Not Walk Alone","Traditional Irish","Hagenberg","SATB",,,
"293","The Call","Spektor","Gryba","SATB",,,
"292","The Sun Never Says","Forrest",,"SATB",,,
"295","Glow","Whitacre","Edward","SATB",,,
"299","Shenandoah","Traditional American","Chilcott","SATB",,,
"300","Into The Woods","Sondheim","Brymer","SATB",,,
"548","A Set of Chinese Folk Songs",,"Yi","SATB",,,"volume one; Fenyang Song, The Flowing Stream, Guessing, Thinking of My Darling"
"296","Hawaiian Roller Coaster Ride","Silvestry, Ho'Omalu","Huff","SATB",,,
"306","I Got Rhythm","Gershwin","Schmutte","SATB",,,
"328","Movin' On","Hannisian",,"SATB",,,
"541","Dies Irae","Main",,"SATB",,,"5 copies"
"327","Tres Cantos Nativos Dos Indios Krao","Leite",,"SATB",,,
"324","What a Wonderful World","Weiss, Thiele","Robinson","SATB",,,
"745","Choose Something Like A Star from Frostiana","Thompson","Frost","SATB",,,"concert chorale winter concert 2025!!!"
"811","Thixo Onothando",,"Barrett","SATB",,,"4 copies"
"340","Let it Snow/Winter Wonderland",,"Billingsley","SATB",,,
"537","September","White, McKay, Willis","Bryner","SATB",,,
"331","Ave Verum Corpus","Byrd",,"SATB",,,
"332","Leron Leron Sinta","Traditional Filipino","Choi","SATB",,,
"543","Laughing so Heartily","Willaer","Greyson","SATB",,,"3 copies"
"311","Adam lay ybounden","Traditional English","Parry","SATB",,,
"823","Les Chansons des Roses","Lauridsen",,"SATB",,,"3 copies; Dirait-on"
"310","My Soul's Been Anchored in the Lord","Traditional Spiritual","Hogan","SATB",,,
"307","The Gartan Mother's Lullaby","Irish Folksong","Ginsberg","SATB",,,
"308","Kyrie","Haydn",,"SATB",,,
"544","Everything","BublÃ©, Chang, Foster","Billingsley","SATB",,,"4 copies"
"816","Joyful, Joyful","Beethoven","Warren","SATB",,,
"819","Sweet Day","Williams","Herbert","SATB",,,
"822","Northern Lights","Gjelo",,"SATB",,,"3 copies"
"546","Mary, Did You Know","Lowry","Greene","SATB",,,"4 copies"
"571","Water Night","Whitacre",,"SATB","E major",,
"839","The Greatest Show",,"Bymer","SATB",,,"2 copies"
"246","John the Revelator","Traditional Gospel Blues","Caldwell, Ivory","SSAATTBB",,,
"240","A Jubilant Song","Clausen",,"SATB",,,
"841","Hodie Nobis De Coelo","Phillips","Gresham","SATB",,,"double choir!"
"840","Hark, I Hear the Harps Eternal",,"Parker","SATB",,,
"253","Kde Su Kravy Moje","Schimmerling",,"SATB",,,
"834","Dances to Life: Wonder","Wilberg","Warner","SATB",,,
"565","Your Voices Tune","Handle","Hamilton","SATB",,,
"568","Will You Be There","Jackson","Schmutte","SAB",,,
"567","You Can't Stop the Beat","Shaiman","Emerson","SATB",,,
"251","Kyrie Eleison","Lotti",,"SATB",,,
"845","El Hambo","MÃ¤ntyjÃ¤rvi",,"SATB",,,
"230","Indodana","Traditional isiXhosa","Barrett, Schmitt","SATB",,,
"232","Il Est Bel Et Bon","Passereau","Lynn","SATB",,,
"578","Witness","Traditional Spiritual","Halloran","SSAATTBB",,,
"225","I'm Seventeen Come Sunday","Grainger",,"SATB",,,
"228","I Will Not Leave You Comfortless","Titcomb",,"SATB",,,
"236","I Will Lift Mine Eyes","Runestad",,"SATB",,,
"734","Lord, I want to Be A Christian","Traditional","Hogan","SATB",,,
"843","O Come, All Ye Faithful",,"Forrest","SATB",,,"5 copies"
"233","In Memoria Aeterna","Vivaldi","McEwen","SATB",,,
"234","Imagine","Lennon","Emerson","SATB",,,
"235","Honor and Glory","Bach","Ehret","SSATB",,,
"273","We Wish You a Merry Christmas","Traditional English","Rutter","SATB",,,
"274","Great God Almighty","Work Song","Gibbs","SATB",,,
"275","Have Yourself a Merry Little Christmas","Martin, Blane","Robinson","SATB",,,
"270","Good Night Dear Heart","Forrest",,"SATB",,,
"827","Another Day of Sun","Hurwitz","Narverud","SATB",,,
"556","Three Motets","Stanford",,"SATB",,,"2 copies :("
"279","He that Shall Endure","Mendelssohn",,"SATB",,,
"280","Jede Sedlak","Czech folksong","Krcek","SATB",,,
"281","The Heavens' Flock","Esenvalds",,"SSAATTBB",,,
"276","He's Gone Away","American Folk Song","Wheeler","SATB",,,
"277","In the Night We Shall Go In","Raminsh",,"SATB",,,
"278","Have Yourself a Merry Little Christmas","Martin, Blane","Hayes","SAB",,,
"563","Zum Gali","Israeli Folk Tune","Goldman","SATB",,,"3 copies"
"260","Kyrie","Gabrieli",,"SATB",,,
"261","The Journey Home","Young",,"SATB",,,
"832","Footloose","Loggins","Emerson","3-Part",,,"5 copies"
"257","Hush",,"Parker","SATB",,,
"258","Homeland","Holst","Stroope","SATB",,,
"267","Fare Ye Well",,"Dennard","SATB",,,
"558","HÃ¶rt, HÃ¶rt Das Lauge GetÃ¶n","Haydn",,"SATB",,,
"557","Ride the Chariot","Spiritual","Smith","SATB",,,
"262","Jamais Je n'aimerai Grand Homme","16th Century English","Anderson","SATB",,,
"264","Joshua Fit the Battle of Jericho",,"Fissinger","SATB",,,
"739","See the Chariot At Hand","Williams","Jonson","SATB",,,
"496","Three Gypsy Songs","Brahms",,"SATB",,,"Dearest One, Remember; Hark, the Wind Sighs; To the Dance"
"493","Siyahamba","African Folksong","Gray","SATB",,,
"492","Robert Shaw- Choral Series | Twelve Days of Christmas","Traditonal","Parker, Shaw","SATB",,,
"430","Five Hebrew Long Songs","Whitacre","Plitmann","SATB",,,"TemunÃ¡; KalÃ¡ KallÃ¡; LÃ¡rov; Ã‰yze shÃ©leg; RakÃºt"
"431","The Proclamation: Gloria In Excelsis Deo","Jenkins",,"SATB",,,"in big fat bag"
"434","Dixit Dominus","Handle","Hermann","SSATB",,,
"443","Sing Me to Heaven","Gawthrop","Griner","SATB",,,
"489","Yo Le Canto Todo El Dia","Brunner",,"SATB",,,
"446","Sure On this Shining Night","Lauridson","Agree","SATB",,,"tb only for 5 measures; 5 copies"
"440","St. Augustine's Magnificat and Nunc Dimittis","Howells",,"SATB",,,
"441","Schicksalsied","Brahms","HÃ¶lderlin","SATB",,,
"442","She Sat and Sang Away","Young",,"SATB",,,"very short :)"
"419","Three Moravian Duets","DvorÃ¡k","Leck","SATB",,,"can be sung in multiple languages"
"502","Two Songs of Reflection","Childs","Saba","SATB",,,"Sonnetto di Primavera; Cuore"
